Experimento  ; Dur  ; Msg Fusão  ; Msg Regras  ; Tm regras 
1 ; 17339 ; 147.0 ; 147.0 ; 2197.9931972789113
2 ; 13925 ; 149.0 ; 149.0 ; 2125.241610738255
3 ; 13802 ; 150.0 ; 147.0 ; 2250.278911564626
4 ; 13672 ; 146.0 ; 139.0 ; 2290.4964028776976
5 ; 16085 ; 144.0 ; 142.0 ; 2302.112676056338
6 ; 15624 ; 150.0 ; 148.0 ; 2109.9189189189187
7 ; 13543 ; 148.0 ; 146.0 ; 2385.5479452054797
8 ; 13499 ; 150.0 ; 150.0 ; 2654.14
9 ; 17741 ; 149.0 ; 149.0 ; 2657.8657718120803
10 ; 12338 ; 150.0 ; 149.0 ; 2834.8590604026845
11 ; 15834 ; 150.0 ; 150.0 ; 2367.286666666667
12 ; 8865 ; 192.0 ; 169.0 ; 2179.508875739645
13 ; 17429 ; 148.0 ; 148.0 ; 2506.7567567567567
14 ; 16734 ; 148.0 ; 146.0 ; 2543.9931506849316
15 ; 16823 ; 148.0 ; 148.0 ; 2790.445945945946
16 ; 36443 ; 573.0 ; 518.0 ; 4767.951737451737
17 ; 32504 ; 541.0 ; 509.0 ; 5000.943025540275
18 ; 0 ; 594.0 ; 594.0 ; 5941.180134680135
19 ; 30970 ; 577.0 ; 492.0 ; 6106.8536585365855
20 ; 35689 ; 595.0 ; 560.0 ; 2749.1803571428572
21 ; 35283 ; 590.0 ; 571.0 ; 4637.499124343258
22 ; 31154 ; 569.0 ; 406.0 ; 7721.948275862069
23 ; 37938 ; 597.0 ; 588.0 ; 3709.5731292517007
24 ; 4106 ; 603.0 ; 602.0 ; 2943.6295681063125
25 ; 22864 ; 575.0 ; 142.0 ; 6974.570422535211
26 ; 31184 ; 596.0 ; 465.0 ; 7813.890322580645
27 ; 31585 ; 567.0 ; 512.0 ; 7432.51171875
28 ; 30202 ; 587.0 ; 484.0 ; 7233.210743801653
29 ; 30168 ; 593.0 ; 466.0 ; 5281.854077253219
30 ; 0 ; 595.0 ; 595.0 ; 7659.757983193277
31 ; 3359 ; 1804.0 ; 1790.0 ; 4018.191620111732
32 ; 0 ; 1772.0 ; 1771.0 ; 6087.382269904009
33 ; 0 ; 1782.0 ; 1780.0 ; 7739.747191011236
34 ; 0 ; 1780.0 ; 1780.0 ; 6494.4033707865165
35 ; 0 ; 1787.0 ; 1786.0 ; 18051.37961926092
36 ; 67862 ; 5779.0 ; 2075.0 ; 5893.187951807229
37 ; 86362 ; 1774.0 ; 1771.0 ; 7332.394692264257
38 ; 91175 ; 1776.0 ; 1775.0 ; 5254.42647887324
39 ; 0 ; 1787.0 ; 1785.0 ; 3738.541736694678
40 ; 0 ; 1792.0 ; 1792.0 ; 3253.484933035714
41 ; 81994 ; 1785.0 ; 1785.0 ; 6136.079551820729
42 ; 86132 ; 1786.0 ; 1766.0 ; 2720.9580973952434
43 ; 81821 ; 1792.0 ; 1754.0 ; 4305.84834663626
44 ; 0 ; 1785.0 ; 1785.0 ; 10075.41512605042
45 ; 82395 ; 1755.0 ; 1620.0 ; 4186.825308641975
46 ; 85538 ; 1697.0 ; 1239.0 ; 12095.129943502825
47 ; 0 ; 29.0 ; 24.0 ; 659.2916666666666
48 ; 14840 ; 50.0 ; 50.0 ; 721.42
49 ; 16156 ; 50.0 ; 50.0 ; 791.8
50 ; 13759 ; 50.0 ; 50.0 ; 502.36
51 ; 13834 ; 50.0 ; 50.0 ; 431.62
52 ; 12700 ; 50.0 ; 50.0 ; 571.3
53 ; 13043 ; 49.0 ; 49.0 ; 778.1836734693877
54 ; 13024 ; 50.0 ; 50.0 ; 504.14
55 ; 12234 ; 50.0 ; 50.0 ; 446.42
56 ; 13902 ; 50.0 ; 50.0 ; 453.66
57 ; 14812 ; 50.0 ; 50.0 ; 829.24
58 ; 17619 ; 50.0 ; 50.0 ; 522.98
59 ; 14208 ; 50.0 ; 50.0 ; 637.48
60 ; 16403 ; 50.0 ; 50.0 ; 580.82
61 ; 12396 ; 50.0 ; 50.0 ; 532.68
62 ; 14412 ; 50.0 ; 50.0 ; 472.12
63 ; 20313 ; 199.0 ; 119.0 ; 5429.689075630252
64 ; 16433 ; 199.0 ; 90.0 ; 4473.7555555555555
65 ; 16237 ; 199.0 ; 63.0 ; 5479.079365079365
66 ; 14948 ; 195.0 ; 92.0 ; 3697.336956521739
67 ; 14736 ; 200.0 ; 48.0 ; 5915.854166666667
68 ; 17109 ; 198.0 ; 67.0 ; 7410.313432835821
69 ; 19116 ; 200.0 ; 52.0 ; 5061.692307692308
70 ; 19324 ; 200.0 ; 18.0 ; 6459.611111111111
71 ; 0 ; 197.0 ; 197.0 ; 18073.55837563452
72 ; 19060 ; 199.0 ; 59.0 ; 5939.440677966101
73 ; 8894 ; 202.0 ; 202.0 ; 14791.509900990099
74 ; 20776 ; 198.0 ; 39.0 ; 4056.2820512820513
75 ; 0 ; 200.0 ; 199.0 ; 50850.34673366834
76 ; 17627 ; 200.0 ; 3.0 ; 3608.6666666666665
77 ; 21780 ; 199.0 ; 0.0 ; NaN
78 ; 43681 ; 1142.0 ; 532.0 ; 13018.109022556391
79 ; 0 ; 598.0 ; 598.0 ; 2864.051839464883
80 ; 45568 ; 598.0 ; 589.0 ; 2538.5093378607808
81 ; 0 ; 598.0 ; 598.0 ; 2264.8076923076924
82 ; 0 ; 595.0 ; 595.0 ; 2053.894117647059
83 ; 39493 ; 566.0 ; 564.0 ; 1913.290780141844
84 ; 41625 ; 591.0 ; 526.0 ; 2345.152091254753
85 ; 42491 ; 595.0 ; 567.0 ; 2124.328042328042
86 ; 43708 ; 594.0 ; 563.0 ; 1540.6500888099467
87 ; 0 ; 598.0 ; 598.0 ; 1788.0234113712374
88 ; 42731 ; 1179.0 ; 888.0 ; 21138.712837837837
